Date,Title,Duration,Summary,Rating/Share
09/22/94,The Pilot,22.0,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiance at the altar.",14.7/23
09/29/94,The One with the Sonogram at the End,22.0,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,14.0/22
10/06/94,The One with the Thumb,22.0,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,13.6/22
10/13/94,The One with George Stephanopoulos,22.0,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",13.7/22
10/20/94,The One with the East German Laundry Detergent,22.0,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",12.9/20
10/27/94,The One with the Butt,22.0,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,12.4/20
11/03/94,The One with the Blackout,22.0,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",16.1/24
11/10/94,The One Where Nana Dies Twice,22.0,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,14.2/22
11/17/94,The One Where Underdog Gets Away,22.0,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,15.7/24
12/15/94,The One with the Monkey,22.0,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,13.6/22
01/05/95,The One with Mrs. Bing,22.0,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",17.6/27
01/12/95,The One with the Dozen Lasagnas,22.0,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,16.1/25
01/19/95,The One with the Boobies,22.0,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,17.3/26
02/09/95,The One with the Candy Hearts,22.0,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",15.9/24
02/16/95,The One with the Stoned Guy,22.0,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",16.9/25
02/23/95,"The One with Two Parts, Part I",22.0,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,17.5/27
02/23/95,"The One with Two Parts, Part II",22.0,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",20.8/31
03/02/95,The One with All the Poker,22.0,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",20.4/31
03/09/95,The One Where the Monkey Gets Away,22.0,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,20.0/31
04/06/95,The One with the Evil Orthodontist,22.0,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",20.5/32
04/27/95,The One with Fake Monica,22.0,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,19.2/29
05/04/95,The One with the Ick Factor,22.0,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,20.7/31
05/11/95,The One with the Birth,22.0,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",19.7/30
05/18/95,The One Where Rachel Finds Out,22.0,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",21.3/32
09/21/95,The One with Ross's New Girlfriend,22.0,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",20.5/33
09/28/95,The One with the Breast Milk,22.0,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",19.3/31
10/05/95,The One Where Heckles Dies,22.0,"After Mr. Heckles dies and leaves all his belongings to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Phoebe and Ross argue over evolution.",19.8/31
10/12/95,The One with Phoebe's Husband,22.0,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",19.3/31
10/19/95,The One with Five Steaks and an Eggplant,22.0,"The gang are divided by income issues; Monica, Ross and Chandler have money, and Rachel, Phoebe and Joey don't.",18.6/30
11/02/95,The One with the Baby on the Bus,22.0,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",19.7/30
11/09/95,The One Where Ross Finds Out,22.0,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",19.6/31
11/16/95,The One with the List,22.0,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",21.1/33
12/14/95,The One with Phoebe's Dad,22.0,"Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.",18.8/30
01/04/96,The One with Russ,22.0,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,21.0/31
01/18/96,The One with the Lesbian Wedding,22.0,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,20.8/31
01/28/96,The One After the Super Bowl,44.0,Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.,29.6/46
02/01/96,The One with the Prom Video,22.0,The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.,21.7/32
02/08/96,The One Where Ross and Rachel... You Know,22.0,Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.,21.7/33
02/15/96,The One Where Joey Moves Out,22.0,Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.,21.1/33
02/22/96,The One Where Eddie Moves In,22.0,"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.",20.0/31
03/21/96,The One Where Dr. Ramoray Dies,22.0,"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.",19.9/31
03/28/96,The One Where Eddie Won't Go,22.0,"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.",20.0/32
04/04/96,The One Where Old Yeller Dies,22.0,Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,18.4/31
04/25/96,The One with the Bullies,22.0,Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,16.6/30
05/02/96,The One with Two Parties,22.0,"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.",18.0/33
05/09/96,The One with the Chicken Pox,22.0,Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,18.1/33
05/16/96,The One with Barry and Mindy's Wedding,22.0,Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,19.1/34
09/19/96,The One with the Princess Leia Fantasy,22.0,Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,16.7/31
09/26/96,The One Where No One's Ready,22.0,"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.",18.4/31
10/03/96,The One with the Jam,22.0,Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,17.3/30
10/10/96,The One with the Metaphorical Tunnel,22.0,Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,18.0/30
10/17/96,The One with Frank Jr.,22.0,Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,16.1/26
10/31/96,The One with the Flashback,22.0,"The gang remember the events three years ago, when several of them almost slept together.",16.0/28
11/07/96,The One with the Racecar Bed,22.0,"Joey becomes a learning extension teacher in soap acting, and loves the respect from even more clueless kids. Monica chooses a ridiculously cheap bed from Janice's ex; Phoebe signs for her at delivery- of another bed, a childish race car! Rachel convinces Ross to dine with her dad, who takes him down even worse then he feared; the next day Ross and Dr. Green find each-other making fun about Rachel's chiropractor and various lack of good sense. When Joey hears one of his students also auditions for the same role he wants, he tries to eliminate him by bad advice to play the boxer gay, but the effect surprises him, though less then what he sees at the Mattress King when trying to get Monica's original bed.",18.0/29
11/14/96,The One with the Giant Poking Device,22.0,Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,18.8/30
11/21/96,The One with the Football,22.0,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.",19.0/30
12/12/96,The One Where Rachel Quits,22.0,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,16.1/27
01/09/97,The One Where Chandler Can't Remember Which Sister,22.0,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,19.4/29
01/16/97,The One with All the Jealousy,22.0,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",19.4/29
01/30/97,The One Where Monica and Richard Are Just Friends,22.0,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",18.9/29
02/06/97,The One with Phoebe's Ex-Partner,22.0,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg.",19.0/30
02/13/97,The One Where Ross and Rachel Take a Break,22.0,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,18.3/29
02/20/97,The One the Morning After,22.0,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",18.6/29
03/06/97,The One Without the Ski Trip,22.0,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",17.5/29
03/13/97,The One with the Hypnosis Tape,22.0,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,18.7/30
