authors,ratings,comments
Kyle Ellis,5.0,"I have nothing against sit-coms in general, as long as they are funny. In America, there is Frasier and Will & Grace, in Britain, there is Only Fools and Horses and Last of the Summer Wine, they are great sit-coms. There was a time when I didn't like Friends very much, then again it was also at a time when I wasn't into sit-coms. My brother and sister, who absolutely adore the show suggested I should try the show again, so I did. Well, my initial reaction of the show was wrong, this show is great, it is funny and smart with appealing characters. It is by far one of the better American sit-coms and I do think it is better than Everybody Loves Raymond.

First and foremost, I love the theme song. It may get on some people's nerves, but I find it irresistibly catchy, memorable and fun, with a simple melody and nice lyrics that are relevant.

I also love how funny and smart Friends is. Some of the episode titles alone are hilarious and clever. That reminds me when I see and review When Harry Met Sally, maybe the title of the review should be ""The One With the Scene in the Diner"". Along with this the writing is consistently funny, with some wit and intelligence and very rarely becomes clichéd and cringe worthy. I even like the plot lines, I don't find them boring, predictable perhaps occasionally but the funny situations that the characters get into make them absorbing and worthwhile.

The direction is also really solid, and the photography and scenery are striking.

I love the characters, they are unique and engaging, even with their flaws they manage to be likable. Rachel does have moments when she is spoilt, but she is also the epitome of sweetness. I know there are people who have problems with Jennifer Aniston, the thing is I don't and I find her at her prettiest and most appealing here. Monica is another strong character, not the funniest by all means, but because she is almost like a maternal figure to the other characters with her caring and sympathetic attitude. I loved how Courtney Cox portrayed her. Phoebe is my favourite female character, she is hilarious; I especially love her songs, they are the sort of songs that are so bad they are great. Lisa Kudrow couldn't have been the more perfect choice for her, she pulls off Phoebe's personality to perfection.

Joey is stupid admittedly, but I love him anyway because he is also cool. I am not a huge fan of Matt LeBlanc, but he is really good as Joey. Matthew Perry is great as Chandler, who is like a clownish and sarcastic sort of character, who makes jokes that are almost as bad as Phoebe's songs, but he is still a likable character in his own right. Ross is deliciously neurotic, I constantly love his priceless facial expressions and David Schwimmer's delivery is absolutely perfect.

There have also been some wonderful guest stars, Elliot Gould as Jack Geller, Gary Oldman(who I really like in films like Dracula and Immortal Beloved) as Richard Crosby, Michael McKean and Danny DeVito as a stripper who arrives at a party in a policeman's outfit, all but to name a few. Overall, I love this show, not only for the writing but for the characters. 10/10 Bethany Cox"
Apolline Dubois-Nguyen,5.0,"Friends is one of the greatest and best sitcoms of all time. Friends is about the lives of six unique adults who overcome different adventures and experiences which makes their lives both troublesome and entertaining. Jennifer Aniston portrays Rachel Green, Courteney Cox portrays Monica Geller, Lisa Kudrow portrays Phoebe Buffay, David Schwimmer portrays Ross Geller, Matt Leblanc portrays Joey Tribbiani, and Mathew Perry portrays Chandler Bing. This show coincidentally takes place in Manhattan, New York. 

The main premise of this show depicts the bond and lives of all six outgoing characters as they indulge in difficult situations and find their own pathways in life. In the beginning, Rachel Green ran off on Barry's wedding and chose to live with her friend, Monica where she formed a closer bond with the other characters. At the time, the six characters were quite clueless in their lives and constantly relied on each other for relationships and career issues.  

The writing is absolutely incredible. Producers Marta Kauffman, David Crane and Kevin Bright had an amazing writing crew which brought all the jokes and conversations to life. The producers and writers wrote a plot line which made the audience and fans more hooked in the show. The characters were beautifully portrayed. The entire cast did a phenomenal job. No one could have been better than the actors picked for this show. Besides that, the sets were memorable and the costumes were superb. Throughout the show, it almost felt that you were there with the characters.  The music that was played in the show also matched the scenes accordingly. The show rightfully deserved the numerous amounts of emmies they received. 

Therefore, I strongly recommend this show to anyone and everyone who wants see friendships, trust, love, relationships combined in one show or just and outstanding sitcom. I adored this show and it completely exceeded by expectations. The best part of this show is the when the characters each started their own family: it is a heartfelt reinforcement when we see all characters having their dream careers ahead of them as well as their friends who will always be there for each other. I was on the verge of tears in a couple of episodes of the show. Similarly, the majority of my friends, who enjoy watching shows like I do, especially loved Friends because of its astounding writing, acting, and amazing bonds.  

There is not much that I can say to improve this show. Although the show mostly revolves around relationships, it isn't just about love. It's really about the friendship and the bond that the main characters have with each other, inspiring us all. 

In conclusion, it's not just any show. It is a very compelling, hilarious, touching and exceptional sitcom. This show brings various vital life lessons and a meaningful lesson about friendship. The ending is flawless. All six characters are happy and have moved on with their lives. The acting, casting, costumes, sets and music were all exceptional."
Maanas Shah,5.0,"""FRIENDS"" is an iconic television series that has captured the hearts of millions around the world, and it's not hard to see why. With its lovable characters, witty humor, and enduring charm, this show has left an indelible mark on the world of television. Here's why ""FRIENDS"" deserves all the praise it receives.

First and foremost, the characters are the beating heart of the show. The ensemble cast, including Jennifer Aniston as Rachel, Courteney Cox as Monica, Lisa Kudrow as Phoebe, Matt LeBlanc as Joey, Matthew Perry as Chandler, and David Schwimmer as Ross, created a group of friends that we all wish we had in our lives. Their chemistry on and off-screen is palpable, and their performances are nothing short of exceptional. Each character is unique, relatable, and endearing in their own way, making it easy for viewers to connect with and care about their lives and relationships.

The humor in ""FRIENDS"" is timeless and endlessly entertaining. The show is known for its sharp wit, clever one-liners, and the kind of humor that resonates with viewers of all ages. From Ross's ""We were on a break!"" to Joey's ""How you doin'?"" and Chandler's sarcastic quips, the show is filled with memorable and iconic moments that have become part of our cultural lexicon. The humor is expertly delivered, and the laugh-out-loud moments are abundant.

The writing is exceptional, with well-crafted storylines that balance humor and heart. The show manages to tackle real-life issues and complex emotions while maintaining its lighthearted and entertaining atmosphere. Whether it's exploring themes of love, friendship, or personal growth, ""FRIENDS"" strikes a perfect balance, making it a show that can be both comforting and thought-provoking.

The setting, Central Perk, has become a beloved and iconic location in the world of television. It's a place where the characters gather, share their lives, and create memories. The show's New York City backdrop adds an extra layer of authenticity and charm, making viewers feel like they're right there with the gang.

The longevity of ""FRIENDS"" speaks to its timeless appeal. Even years after its initial airing, new generations of viewers continue to discover and fall in love with the show. The themes of friendship and the ups and downs of life are universal, ensuring that ""FRIENDS"" remains relatable and relevant for years to come.

In conclusion, ""FRIENDS"" is a show that has left an indelible mark on television history for a reason. With its unforgettable characters, timeless humor, and relatable stories, it has become a beloved classic that continues to bring joy to people of all ages. Whether you're watching for the first time or revisiting old friends, this show is a true gem that deserves all the accolades it has received. ""FRIENDS"" is not just a TV series; it's a cultural phenomenon, and its place in our hearts is well-deserved."
Peter Elamery,5.0,"Wow! I'm glad I had the chance to watch this one! Instead of buying Hulu, Prime, Disney Plus, and Paramount+ individually, I watched this on MovieMeld. net, which brings together content from the top streaming services into a single platform. For what reason? It's inexpensive, the streaming quality is excellent, and I'm fed up with other platforms limiting account sharing! I highly recommend testing it out! Now, with my rant over, allow me to offer my critique ... lmfao

My favorite show of all time. Friends is easily the best show to have ever been made, the show is relatable to anyone of any age, has amazing characters that you are bound to connect with, great writing, amazing acting, and so comforting as well. No show has made me laugh more, put a smile on my face more, cry as intensely, and had me as emotionally invested as Friends. You connect to every single character, and you get to see these amazing people grow and learn and change as they navigate the world over 10 years. Friends has taught me so much about being a good friend, partner, sibling, and just a good human in general. If you ever feel down, watching Friends will surely brighten your mood. I loved all the characters, Joey's wholesome, sweetness, and innocence, Phoebe's uniqueness, quirkiness, and joyfulness despite a troubled upbringing, seeing Rachel grow from being a spoiled girl marrying for money to a strong and independent woman working in fashion, Monica's wonderful scrappiness, cleanliness, and responsibility to take care of others, Chandler's signature sarcasm, pure funniness, and caringness, and Ross's passion and love. I will always love this show. It got me through a tough time in high school, made me feel whole, helped me distract me from my pain, and always made me happy. This show will always hold a special place in my heart and I will never forget Ross, Rachel, Monica, Chandler, Phoebe, and Joey. Ever. I love this show so much and if you haven't watched it already this is your sign. You won't regret it."
Jules Sherwood,5.0,"Grew up watching FRIENDS when it first aired in the 90s and the show created lightning in a bottle with each actor they cast for their iconic roles. Of course everyone knows who Jennifer Aniston is now but back then she was not massively known and this like her costars was her breakthrough role and anywhere they went in the world people in the street would shout their characters name.

Lisa Kudrow was known to some as Ursula on Mad About You and thanks to the bosses there allowed to her be on both shows playing twin sisters in a double episode of the 1st season where in we get guest appearances not only from Helen Hunt but George Clooney and  the actor who was Dr Carter whilst they were filming ER.

We all loved the Ross/Rachel drama along with Monica finding love with Chandler. Phoebe getting her man and Joey being Joey.  

The show attracted alot of famous faces including Julia Roberts, Danny Devito, Tate Donovan, Bruce Willis, Dan Castellena aka Homer, Hank Azaria, Paul Rudd, Reese Witherspoon, Christina Applegate, Tom Selleck, Brad Pitt, Freddie Prinze Jr and many more. Also for those of you who never watched the show we got appearances from Tom Conti, Jennifer Saunders, June Whitfield, Helen Baxendale, Richard Branson and The Duchess of York when they came over to England to film the Wedding of Ross and Emily where Ross says the wrong name shows how popular it was all around the world in the early days, this was before twitter.

Charlie Sheen makes a guest star appearance before his long run in comedy Two and a Half Men. Jennifer Grey shows up as ex friend of Rachels Mindy who marries Barry the man she left at the altar in the 1st episode.  For those stargate fans we get Peter Deluise showing his acting skills before he was more known as a director for Stargate SG1.

Of course we can't leave out the one and only Janice played by Maggie Wheeler who was a staple for Chandlers hysterics anytime she came in and uttered that immortal line ""Oh My God"" before that freaky laugh she did, what an asset she was to the show alongside Elliot Gould and Christine Pickles who played the parents of Ross and Monica Geller.

This show proves with great writing and acting how something so beloved has lasted for 25 years, we all have our favourite episodes and for each generation that has come since have found things that are relatable, not many shows or sitcoms have that power.

So grateful I have complete seasons 1 to 10 on DVD as I can sit down and enjoy Ross, Rachel, Monica, Chandler, Joey and Phoebe and watch their antics as they try to handle daily life.   

If you just want a good old fashioned belly laugh then FRIENDS is must watch tv.  America was at it's height in good comedy shows, Frasier, Everybody Loves Raymond, Seinfield, Mad About You and many more, to bad that there is no creativity anymore."
Eden Evetts,0.0,"Aaaahhh F.R.I.E.N.D.S  the best show of all time..... and yes....im only 13....but this show means the world to me....its gotten me through so many difficult times.....I never really knew the show well till this year....my friends had seen the shows episodes on and off on their tvs when their families had been watching......and id heard of the show from people I know but I had never really sat and eatched a full episode.......untill one night my whole life chsnged when I was staying over at my friends house for the night and she suggested that we watched an episode. ....she started watching from where she was in the series. .....which was the episode with Monica and Chandlers wedding......and Rachel was pregnant. I enjoyed that episode so much and I, even before friends loved Jennifer Aniston. .....so I immediately fell in love with Rachel.. I begged to watch another episode and then another. .....we ended up watching 7 episodes and I loved them all♥ since I didnt have friends and wasnt sure if I was even allowed to watch it......I started watching little clips of episodes on You Tube.....I then asked my mother for permission to watch it and got the discs from my friend season by season.....I would watch every day.....sometimes even before finishing homework. ....I was officially addicted......I loved it so much....I flew through all the seasons in two months and cried hecticly during the last episode. ....I then couldn't handle the fact that my parents had lived their life without watching friends and I decided to let their 13 year old daughter introduce them to the best series in the world. ......my parents took longer to start to like it than me but after a while friends became apart of them to......by July 2018 my family had finished friends with many tears and I had cried once again even though id already finished thr series once......I had fallen deeply in love with my six new friends. ...... Monica Rachel Pheobe Ross Chandler and Joey.......I was in love with Rachels adorable smile and fancy fashin and her love for design and her ""Nooooo""s. I had fallen in love with obsessive Monica and her extreme coocking skills and her OCD. I fell in love with Pheobe and he wonderfully weird ways of doing things and her love for animals. I fell in love with Ross and his fossil brushes and is extra gelled hair. I fell in love with Chandler and his witty character and halerious sarcasm.  I fell in love with Joey and his great pick up lines ""how you doin"" and his "" joey doesn't share food""s.....I fell in love with Roschel and Mondler and Phoey and Chanoey ♥ all the characters are not just Characters to me.....and now even ony 6th round of watching F.R.I.E.N.D.S I laugh just as hard and cry just as hard when it ends as I did the first time....the shoe has helped me in so many ways.....last year I had no idea what was and now whrn I type fr on my keyboard. ....the word friends comes up in capital letters with dots in between each one....F.R.I.E.N.D.S has been a big part of my life this year and I hope it will continue to bring me joy because as I said....Rach Mon Chandler Ross Pheebs and Joe are not just made up characters to me....they are my friends and central perk is not just a made up coffee house....its my home.....F.R.I.E.N.D.S is me....its in my heart♥"
Nydia Jones,0.0,"Someone said''THE WORST SITCOM EVERRRR! i knew there was some series named friends but never got a chance to watch and this october i downloaded it to watch it some day when i'm free.One night i watched the first episode and its one and a half month later i have finished it and i feel so grateful that i had a chance to watch it.F.R.I.E.N.D.S is the best sitcom ever and i don't think any other sitcom can be made as great,amazing,fantastic,funny,emotional as this.It really is a roller coaster with cliffhangers in the last episode of every season which you cannot resist.every character of it is unique in their own way.I love all of them. I'm not sure who's my favorite. They all are so perfect.

Chandler is so loving and caring and funny throughout the 10 years.I love his jokes and one-liners he never stops to cheer everyone up even in the last emotional scene he doesn't stop.He's so sweet.I love his nervousness around people,his love for monica,his victory dance,his expressions,his relationship with joey and ross  and everything about him.

Monica is so beautiful from the 1st season till the 10th she looks so cute especially in her short hair.she totally is a beauty!I love her shrill,high-pitched,bossy noise when she's ordering everyone around,her in-your-faces,her stylish dressing,her leadership qualities,her tomboyish side,her physical strength,her organizing skills,her relationship with rachel,ross everyone and i love her romantic side,she's so sweet.Oh i just love her in every way!

Joey is so so so sweet and so caring,loving.He is a great friend,being loyal always except maybe when with Rachel,always advising.His dating never ends.I wish they would have shown what happened with him in future.He deserves the best as he is the best.i love his love for food and his innocence,his beefy,clueless nature.God! he's so cute!His expressions are just so exceptional when he realizes the thing after a decade and overall his expressions are the best.He proved he really is an actor.He is the child in the group and a little idiotic in a great way  but still women love him more than the other two men in the group.His hugging nature looks so cute on him.his relationship with everyone in the group is amazing.he is just an amazing guy.

Rachel is a fashionista.She is beautiful.I love her crying-at- ='' BUT THAT IS WRONG FRIENDS IS AMAZING"
Faraan Babar,5.0,"One of the highest grossing comedy sitcom's I have ever seen even my family has, I wanna praise the 3 men and the 3 women for their performances as Joey Tribbiani, Ross Gellar and Chandler Bing with Monica Gellar, Phoebe Buffay and Rachel Green.
My favourite couples are double: Mike and Phoebe Buffay and Monica Gellar and Chandler Bing.
I love that the marriage finally happen between Monica and Chandler happened they automatically fell in love after dating their co-stars Tom Selleck and Maggie Wheeler, with Chandler's favourite lines:
Don't touch the computer don't ever touch the computer, at least we got married haaha and I'm leaning this is where I lean.
David Schwimmer: when he wants help moving his car, LIFT AND SLIDE LIFT..... AND SLIDE with i'm fine totally fine, i don't know why it's coming out all loud and squeaky cause seriously i'm fine, then L-O-V-E LOVE
L: is for life without love
O: stands for oh WOW
V: stands for many surprising tourn of events which i'm still fine with by the way
EEEE: is for how extremely normal i find it that you two are together. Jennifer Aniston when she lands in a rageful conversation with the young kid in the halloween episode sayin err i think i just did, and here it comes again SHUT UP oh one more thing i have to say to you, oh right SHUT UP.
Joey Tribbiani with his acting skills in the programme.
I have watched the programme and I'm close to the finish line
Seasons 1-5: at my new home
Seasons 6-8 Central Library
Season 9: Arcadia Levenshulme Library
Season 10: Wythenshawe Forum Library
 This was my family's main sitcom now it is my 2nd sitcom for life and ever after Everybody Loves Raymond, it ties it's score with the same percentage of 100%."
Devansh Dua,0.0,"THE MOST HILARIOUS SHOW EVER!!!!

I've recently been watching a show named'FRIENDS'.It has been rated as one of the top American sitcoms ever.The genre of the show is comedy.This show aired in 1994 on NBC and since then it has been one of the greatest hits ever.The show was directed by James Burrows in association with Warner Bros and ended in 2004,lasting 10 seasons and breaking hearts of millions of fans.

The plot of the show revolves around the 6 main characters namely 'Ross','Rachel','Monica','Joey','Phoebe' and 'Chandler'.The spoiled but independent Rachel, the neat freak and formerly fat Monica, the goofy and lovable Chandler, the weird hippie Phoebe, the intellectual Ross, and the fun-loving Joey.The show also has a bit of romance in it and 2 of the characters even ended up getting married to each other.This show has taken the genre of comedy to a whole new level.This is one of the most hilarious shows I have ever seen, i mean if you watch it once, you’ll laugh. You watch it 10 times, you’ll still laugh.
Being one of the greatest shows ever,it has made careers for these actors and all of them are now one of the highest paid actors in the world.

The show teaches us how important the role of friends is in our daily lives that we don't even realise and at the same page the show is very relatable.It also teaches you that fights with friends are a part and parcel of life.They might hurt you, but there is no one else who will love you as much as they do.There is no other sitcom that can make you feel as wonderful as FRIENDS, because it’s a reflection of our lives- a story of 6 friends trying to find their way in the world, just like we are, and of finally making it. Their happy ending is the best happy ending anyone could ever ask for. The show may have ended, but the legacy will always remain,And that makes every FRIENDS fan ecstatic.

I would surely recommend this show to someone who loves comedy and lastly, I would say, go for it! It's one of those few TV series which would make you laugh, cry, feel loved, feel stupid, and think about how much of this happened in your life if you were one of them. And if you really love it, you'll cry buckets in the last episode. Didn't we all?"
Ashish Gautam Karn,0.0,"💞This show made me laugh and cry both so hard i cannot express my emotions in proper words but i am trying to write few😂

Why I'm writing this:: I learnt a lot and lots of amazing thing's that truly matters in our lives... Friendship, unconditional love, sarcasm, fun, bonding, dating, respecting peoples decisions, love people for who they are and support them in what they want to be...
A show that truly made me realize that friendship is indeed best thing happen to all of us...

Few words which i felt about major characters of this sitcom while watching...

Ross:: paleontologist, loving, caring, sweet, intelligent, unconditional true lover, mature, a good father a good brother a good husband and most importantly a true friend...

Rachel:: waitress, fashionable, drama queen, somehow selfish, bossy,intelligent, laid back, charming beauty and most importantly a true friend...

Joe:: loving, caring, sweet, charming, loyal, talented, funny, laid back, foodie, emotional, a gem, flirty, actor, not so intelligent but interesting a lot 
and most importantly a true friend ...

Pheobe:: masseuse, weirdly unique, funny, interesting, caring, song writer and music composer, emotional, witty, sometimes silly, infectious smile, beautiful, vegan, rich heart and most importantly a true friend...

Chandler:: Statistical analysis and data reconfiguration, advertiser, very intelligent, witty and or sarcastic, too damn funny, creative, really mature, caring, sweet,weird smile, family guy, unconditional lover and most importantly a true friend...

Monica:: chef, beautiful, stunningly charming, caring, sweet, leadership skills, intelligent, sporty, competitive,laid back, funny, obsessed to cleaning and organizing stuff's, true lover, emotional, supportive ,good daughter good sister and will definitely make a good mother and most importantly a true friend...

And the theme song as well ""I'll be there for you""...

This is my first time spending time for writing a review; it's just because i want all of people out there to feel what a rollercoaster of love and emotions i felt while watching F.R.I.E.N.D.S ""The best sitcom of all time""...💞"
