authors,ratings,comments,processed_comments,final_comments,sentiment_scores,sentiment_label,enhanced_sentiment_scores,enhanced_sentiment_label,is_sarcastic
Nadia,1.0,for someone that didnt grow up with friends watched it and find it very dated and cliche give props for it being the first to introduce this friendship kinda sitcom but if it were released now it might not work as well storyline and jokes were very simple and not that complex tbh its just a no brainer storyline is barely there only character that have actual growth is monica and chandler this kind of series that might open in background and not focus on not worth rewatching tbh but its not bad just on scale of other sitcom def not worth watching,for someone that didnt grow up with friends watch it and find it very date and cliche give prop for it be the first to introduce this friendship kinda sitcom but if it be release now it might not work as well storyline and joke be very simple and not that complex tbh its just a no brainer storyline be barely there only character that have actual growth be monica and chandler this kind of series that might open in background and not focus on not worth rewatching tbh but its not bad just on scale of other sitcom def not worth watch,someone didnt grow friends watch find date cliche give prop first introduce friendship kinda sitcom release might work well storyline joke simple complex tbh brainer storyline barely character actual growth monica chandler kind series might open background focus worth rewatching tbh bad scale sitcom def worth watch,"{'neg': 0.1, 'neu': 0.625, 'pos': 0.275, 'compound': 0.8263}",positive,"{'neg': 0.1, 'neu': 0.625, 'pos': 0.275, 'compound': 0.8263, 'sarcasm': False}",positive,False
Ava Samimi,1.0,"first of all i have nothing against sitcoms in general i like some of they actually but friends isnt even that good i wanted to give less than 1 star for this ridiculous show this is seriously the most overrated tv show i have ever seen and its really not funny at all believe me
i mean it had nothing from itself the reason everyone loves it and say wow friends the show masterpiece love that showww is probably because they have a crush on the actors or actresses in that show
it had no purpose the director and actors didnt know what they were doing man i loved chandler rachel wasnt bad she was the most beautiful girls compared to monika and phoebe 
and
i hated monika phoebe  ross i cant stand them i truly mean it when i say the characters are not realistic",first of all i have nothing against sitcoms in general i like some of they actually but friends isnt even that good i want to give less than 1 star for this ridiculous show this be seriously the most overrate tv show i have ever see and its really not funny at all believe me i mean it have nothing from itself the reason everyone love it and say wow friends the show masterpiece love that showww be probably because they have a crush on the actors or actresses in that show it have no purpose the director and actors didnt know what they be do man i love chandler rachel wasnt bad she be the most beautiful girls compare to monika and phoebe and i hat monika phoebe ross i cant stand them i truly mean it when i say the character be not realistic,first nothing sitcoms general like actually friends isnt even good want give less 1 star ridiculous show seriously overrate tv show ever see really funny believe mean nothing reason everyone love say wow friends show masterpiece love showww probably crush actors actresses show purpose director actors didnt know man love chandler rachel wasnt bad beautiful girls compare monika phoebe hat monika phoebe ross cant stand truly mean say character realistic,"{'neg': 0.272, 'neu': 0.525, 'pos': 0.203, 'compound': -0.4162}",negative,"{'neg': 0.272, 'neu': 0.525, 'pos': 0.203, 'compound': -0.2162, 'sarcasm': False}",negative,False
Felix Wallis carnie,1.0,friends isnt even that good the real reason people watch the show is because of their celebrity crush on jenifer aniston nothing is intriguing when it comes to the narrative of the show ross and rachaels relationship is tedious and tiring while phoebe and joey continue to deliver jokes that make me want to jump in front of a train its comedy is bottom shelf and contrary to popular opinion i find its character development poor it has become iconic  i do not know why  and people like because they know that it is meant to be good friends is an embarrassment to sit coms reputation it objectifies women in a derogatory form and has nothing interesting about it i wish the 90s was deleted from history and we could just get on with life leaving friends and everything else that is attached with it behind us,friends isnt even that good the real reason people watch the show be because of their celebrity crush on jenifer aniston nothing be intrigue when it come to the narrative of the show ross and rachaels relationship be tedious and tire while phoebe and joey continue to deliver joke that make me want to jump in front of a train its comedy be bottom shelf and contrary to popular opinion i find its character development poor it have become iconic i do not know why and people like because they know that it be mean to be good friends be an embarrassment to sit coms reputation it objectify women in a derogatory form and have nothing interest about it i wish the 90s be delete from history and we could just get on with life leave friends and everything else that be attach with it behind us,friends isnt even good real reason people watch show celebrity crush jenifer aniston nothing intrigue come narrative show ross rachaels relationship tedious tire phoebe joey continue deliver joke make want jump front train comedy bottom shelf contrary popular opinion find character development poor become iconic know people like know mean good friends embarrassment sit coms reputation objectify women derogatory form nothing interest wish 90s delete history could get life leave friends everything else attach behind us,"{'neg': 0.185, 'neu': 0.606, 'pos': 0.208, 'compound': 0.5023}",positive,"{'neg': 0.185, 'neu': 0.606, 'pos': 0.208, 'compound': 0.7022999999999999, 'sarcasm': False}",positive,False
Arun Ray,1.0,"the show has its moments but most of it is a cringe fest
especially the onoff relationship between ross  ratchel 
ratchel basically screwed rosss life consistently in a planned manner she is someone who isnt happy with herself and her own choices also doesnt allow her beau to be happy with someone else and ross is just too dumb to see ratchel essentially neglects the best relationship she ever has with a man ross who has loved and adored her since childhood ross is a man who proves time and again that he will sacrifice things that are important to him and give up happy relationships for her all to be rejected by her as soon as he has ended those happy relationships although shortly after tow the list rachel cites ross as gutless for not letting her know that he liked her for the first year they hung out it is rachel who is more consistently depicted as cowardly when it comes to revealing her feelings for ross",the show have its moments but most of it be a cringe fest especially the onoff relationship between ross ratchel ratchel basically screw rosss life consistently in a plan manner she be someone who isnt happy with herself and her own choices also doesnt allow her beau to be happy with someone else and ross be just too dumb to see ratchel essentially neglect the best relationship she ever have with a man ross who have love and adore her since childhood ross be a man who prove time and again that he will sacrifice things that be important to him and give up happy relationships for her all to be reject by her as soon as he have end those happy relationships although shortly after tow the list rachel cite ross as gutless for not let her know that he like her for the first year they hang out it be rachel who be more consistently depict as cowardly when it come to reveal her feel for ross,show moments cringe fest especially onoff relationship ross ratchel ratchel basically screw rosss life consistently plan manner someone isnt happy choices also doesnt allow beau happy someone else ross dumb see ratchel essentially neglect best relationship ever man ross love adore since childhood ross man prove time sacrifice things important give happy relationships reject soon end happy relationships although shortly tow list rachel cite ross gutless let know like first year hang rachel consistently depict cowardly come reveal feel ross,"{'neg': 0.247, 'neu': 0.602, 'pos': 0.151, 'compound': -0.8104}",negative,"{'neg': 0.247, 'neu': 0.602, 'pos': 0.151, 'compound': -0.8104, 'sarcasm': False}",negative,False
Swapnali Ingawale,1.0,i always loved watching friends it makes me laugh everytime at the same jokes its all fun but today while watching season 8 episode 8 thr is a scene where rose and his girlfriend chatting about a sculpture a statue of our hindu god ganesha rose and his girlfriend  mona  starts kiss and his girlfriends feet break the statue that scene is so disrespectful towards our culture i request to remove it it hurts our religious sentiments,i always love watch friends it make me laugh everytime at the same joke its all fun but today while watch season 8 episode 8 thr be a scene where rise and his girlfriend chat about a sculpture a statue of our hindu god ganesha rise and his girlfriend mona start kiss and his girlfriends feet break the statue that scene be so disrespectful towards our culture i request to remove it it hurt our religious sentiments,always love watch friends make laugh everytime joke fun today watch season 8 episode 8 thr scene rise girlfriend chat sculpture statue hindu god ganesha rise girlfriend mona start kiss girlfriends feet break statue scene disrespectful towards culture request remove hurt religious sentiments,"{'neg': 0.059, 'neu': 0.572, 'pos': 0.369, 'compound': 0.9509}",positive,"{'neg': 0.059, 'neu': 0.572, 'pos': 0.369, 'compound': 1.0, 'sarcasm': False}",positive,False
Mary Congrove,1.0,"this is seriously the most overrated tv show ever its really not funny the  characters are not realistic its not representative of american life they rarely go to work when they have kids they rarely are in the show ross and rachel are the lamest will they wont they couple ive ever seen the stories are all surface and cheesy i roll my eyes at this show which is a disgrace to sitcoms people caught up in the 90s nostalgia think this show is the best ever however these characters lives dont represent them because they are representative of no one that has ever lived
if you want a good nostalgic sitcom see scrubs or that 70s show shows that depict real lives and not some idealistic version of new york living i dont get its popularity i genuinely dont and ive tried ive watched almost every episode against my will i wish i could give this a 0 star rant over",this be seriously the most overrate tv show ever its really not funny the character be not realistic its not representative of american life they rarely go to work when they have kid they rarely be in the show ross and rachel be the lamest will they wont they couple ive ever see the stories be all surface and cheesy i roll my eye at this show which be a disgrace to sitcoms people catch up in the 90s nostalgia think this show be the best ever however these character live dont represent them because they be representative of no one that have ever live if you want a good nostalgic sitcom see scrub or that 70s show show that depict real live and not some idealistic version of new york live i dont get its popularity i genuinely dont and ive try ive watch almost every episode against my will i wish i could give this a 0 star rant over,seriously overrate tv show ever really funny character realistic representative american life rarely go work kid rarely show ross rachel lamest wont couple ive ever see stories surface cheesy roll eye show disgrace sitcoms people catch 90s nostalgia think show best ever however character live dont represent representative one ever live want good nostalgic sitcom see scrub 70s show show depict real live idealistic version new york live dont get popularity genuinely dont ive try ive watch almost every episode wish could give 0 star rant,"{'neg': 0.12, 'neu': 0.717, 'pos': 0.163, 'compound': 0.6679}",positive,"{'neg': 0.12, 'neu': 0.717, 'pos': 0.163, 'compound': 0.8679000000000001, 'sarcasm': False}",positive,False
indu singh,1.0,i did not like rachels character at all the character has no dignity no ethics chandler and rosss characters were good in ethics and but joeys character leaves his principle at last was not ok for rachel monicas was very strong of all played very well i truly admire her phoebe is so cute and charming could have shown her smart in late seasons at least joey is so cute and childlike,i do not like rachels character at all the character have no dignity no ethics chandler and rosss character be good in ethics and but joeys character leave his principle at last be not ok for rachel monicas be very strong of all play very well i truly admire her phoebe be so cute and charm could have show her smart in late season at least joey be so cute and childlike,like rachels character character dignity ethics chandler rosss character good ethics joeys character leave principle last ok rachel monicas strong play well truly admire phoebe cute charm could show smart late season least joey cute childlike,"{'neg': 0.02, 'neu': 0.375, 'pos': 0.605, 'compound': 0.9853}",positive,"{'neg': 0.02, 'neu': 0.375, 'pos': 0.605, 'compound': 0.9853, 'sarcasm': False}",positive,False
Abhilash,1.0,"id probably give less than one star for this stupid show i know its all comedy show  should be taken as fun

but what is fun rachel runs away from marriage then sleeps with barry twice in his hospital then dates paolo realizes love for ross then sleeps with paolo as ross is with julie then dates other people convinces ross to have sex with her while dating tag then realizes feelings for joey kisses him  wants ross to understand

what can of sicko will take it as fun

why cant you talk to ross on face i dont know what drugs the writer took while writing the script

they disrespect indian tradition in s8 e8 1043

literally garbage

the storyline was really good when it started 6 friends living together  support each other in needy situations to get out of trouble

the show should have ended for 6 seasons then it gets really weird i would say that show should have either ended within 56 season or the writers should have innovated instead the production house decided to earn more money  then the writers could not bring up with new content so they have decided to introduce more  more characters into the main cast lives so that there will be more confusion  less laughter

i am not sure if the director has actually read the script  realize where the show was going

at one point i couldnt watch the show anymore  had to skip the complete episodes

i loved the chandler character  monika up to an extent

i hated rachel phoebe  ross characters i know ross character got phd  he must have specialized in stupidity",id probably give less than one star for this stupid show i know its all comedy show should be take as fun but what be fun rachel run away from marriage then sleep with barry twice in his hospital then date paolo realize love for ross then sleep with paolo as ross be with julie then date other people convince ross to have sex with her while date tag then realize feel for joey kiss him want ross to understand what can of sicko will take it as fun why cant you talk to ross on face i dont know what drug the writer take while write the script they disrespect indian tradition in s8 e8 1043 literally garbage the storyline be really good when it start 6 friends live together support each other in needy situations to get out of trouble the show should have end for 6 season then it get really weird i would say that show should have either end within 56 season or the writers should have innovate instead the production house decide to earn more money then the writers could not bring up with new content so they have decide to introduce more more character into the main cast live so that there will be more confusion less laughter i be not sure if the director have actually read the script realize where the show be go at one point i couldnt watch the show anymore have to skip the complete episodes i love the chandler character monika up to an extent i hat rachel phoebe ross character i know ross character get phd he must have specialize in stupidity,id probably give less one star stupid show know comedy show take fun fun rachel run away marriage sleep barry twice hospital date paolo realize love ross sleep paolo ross julie date people convince ross sex date tag realize feel joey kiss want ross understand sicko take fun cant talk ross face dont know drug writer take write script disrespect indian tradition s8 e8 1043 literally garbage storyline really good start 6 friends live together support needy situations get trouble show end 6 season get really weird would say show either end within 56 season writers innovate instead production house decide earn money writers could bring new content decide introduce character main cast live confusion less laughter sure director actually read script realize show go one point couldnt watch show anymore skip complete episodes love chandler character monika extent hat rachel phoebe ross character know ross character get phd must specialize stupidity,"{'neg': 0.095, 'neu': 0.672, 'pos': 0.233, 'compound': 0.978}",positive,"{'neg': 0.095, 'neu': 0.672, 'pos': 0.233, 'compound': 0.978, 'sarcasm': False}",positive,False
Not the One,1.0,after nearly 20 years friends is back with the same tired  lame show plots and a continued racist approach to entertainment after all this time the cast and its writers and studio still have not found a black person or even a person of color that they can call a friend  and we wonder why we have this pervasive racism in this country this is also the same reason we have cops in this country feeling like they are all billy and betty bad assthese studios writers and actors all support this racist view point that they keep shoving down the american publics throat this show is a microcosm of all that is wrong with american entertainment friends deserves a negative 5 star rating but its not an available option,after nearly 20 years friends be back with the same tire lame show plot and a continue racist approach to entertainment after all this time the cast and its writers and studio still have not find a black person or even a person of color that they can call a friend and we wonder why we have this pervasive racism in this country this be also the same reason we have cop in this country feel like they be all billy and betty bad assthese studios writers and actors all support this racist view point that they keep shove down the american publics throat this show be a microcosm of all that be wrong with american entertainment friends deserve a negative 5 star rat but its not an available option,nearly 20 years friends back tire lame show plot continue racist approach entertainment time cast writers studio still find black person even person color call friend wonder pervasive racism country also reason cop country feel like billy betty bad assthese studios writers actors support racist view point keep shove american publics throat show microcosm wrong american entertainment friends deserve negative 5 star rat available option,"{'neg': 0.264, 'neu': 0.524, 'pos': 0.212, 'compound': -0.7906}",negative,"{'neg': 0.264, 'neu': 0.524, 'pos': 0.212, 'compound': -0.7906, 'sarcasm': False}",negative,False
Corn Blaster,2.0,"i watched friends way back in 2012 for the first time 
i remeber enjoying it it was funny and pretty good back in 2012 i was 17
i revisited the show to enjoy the nostalgia and fond memories of my young adult days in 2022 and i gotta say i hate it
especially after season 4
and the main reason for for me hating it is the two characters rachel and ross
back in 2012 i found these characters and their interactions funny
but today when i have matured emotionally i find these two one of the worst people you can find in a friends group
and i dont know if these characters were intentionally written that way or not but nope cant go past season 4
theyre the most selfish annoying and disingenous characters ever written they literally overshadow the other 3 nicely written characters with their filth",i watch friends way back in 2012 for the first time i remeber enjoy it it be funny and pretty good back in 2012 i be 17 i revisit the show to enjoy the nostalgia and fond memories of my young adult days in 2022 and i get ta say i hate it especially after season 4 and the main reason for for me hat it be the two character rachel and ross back in 2012 i find these character and their interactions funny but today when i have mature emotionally i find these two one of the worst people you can find in a friends group and i dont know if these character be intentionally write that way or not but nope cant go past season 4 theyre the most selfish annoy and disingenous character ever write they literally overshadow the other 3 nicely write character with their filth,watch friends way back 2012 first time remeber enjoy funny pretty good back 2012 17 revisit show enjoy nostalgia fond memories young adult days 2022 get ta say hate especially season 4 main reason hat two character rachel ross back 2012 find character interactions funny today mature emotionally find two one worst people find friends group dont know character intentionally write way nope cant go past season 4 theyre selfish annoy disingenous character ever write literally overshadow 3 nicely write character filth,"{'neg': 0.124, 'neu': 0.577, 'pos': 0.298, 'compound': 0.9538}",positive,"{'neg': 0.124, 'neu': 0.577, 'pos': 0.298, 'compound': 0.9538, 'sarcasm': False}",positive,False
