Subscriber Growth
"10,000 subscribers on : May 18, 2017"
"20,000 subscribers on: July 5, 2017"
"30,000 subscribers on : August 3, 2017"
"50,000 subscribers on: December 4, 2017"
"300,000 subscribers on: February 27, 2019"
"500,000 subscribers on: November 23, 2019"
"600,000 subscribers on: March 27, 2020"
"700,000 subscribers on: July 19, 2020"
"900,000 subscribers on: April 4, 2021"
"1 million subscribers: November 23, 2021"
"2 million subscribers: May 2, 2023"
"3 million subscribers: May 9, 2023"
"4 million subscribers: May 12, 2023"
"5 million subscribers: May 15, 2023"
"6 million subscribers: May 21, 2023"
"7 million subscribers: May 27, 2023"
"8 million subscribers: June 2, 2023"
"9 million subscribers: June 5, 2023"
"10 million subscribers: June 8, 2023"
"11 million subscribers: June 11, 2023"
"12 million subscribers: June 16, 2023"
"13 million subscribers: June 20, 2023"
"14 million subscribers: June 23, 2023"
"15 million subscribers: June 26, 2023"
"16 million subscribers: July 1, 2023"
"17 million subscribers: July 5, 2023"
"18 million subscribers: July 9, 2023"
"19 million subscribers: July 14, 2023"
"20 million subscribers: July 18, 2023"
"21 million subscribers: July 22, 2023"
"22 million subscribers: July 27, 2023"
"23 million subscribers: August 2, 2023"
"24-29 million subscribers:  October 23, 2023"
"30 million subscribers: September 19, 2023"
"31-39 million subscribers: November 31, 2023"
"40 million subscribers: March 31, 2024"
